# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -2.103722906573239 22.53925000000001 4.0146553684391595 3 1 0 0 1 1 0 0 236.931 -75.963 37.71200000000002 0.6447815019092064 0.2923784302883918 34.363 -0.120473 -0.053599 3.189185 2.894178 0.035374 0.048468813584957235 2.76267 3.081284 0.192065 0.04015616527176535 3.9603 0.990075 3.9673000000000003 0.9918250000000001 3.9959
001 00 2 -5.370006390160768 146.26725 3.0639210465526094 1 2 0 0 4 1 0 0 256.509 -219.268 217.74 0.11434738679158629 0.8531347051693069 169.52949999999998 -0.043451 -0.002354 3.159516 2.80696 0.071658 0.03655335861905622 2.812523 2.930665 0.238665 0.0990665343712665 3.8783 1.2927666666666666 3.7910000000000004 1.2636666666666667 3.8726
001 00 6 1.4249139960925987 111.19924999999999 3.0584900338911774 1 2 0 0 1 2 0 0 253.793 -181.485 161.376 -0.43409181043029943 1.6767066915252273 103.51899999999999 -0.059723 -0.066865 3.132609 2.847864 0.073795 0.07019999693019939 2.791137 3.000411 0.25321 0.05442309496283109 4.0155 1.3385 3.9389 1.3129666666666666 4.0079
001 00 8 -1.2182494834841577 82.81125 2.062114086178675 0 2 0 0 2 1 0 0 264.127 -163.430 284.49600000000004 0.987718632247905 0.00923939391268323 283.6225 0.041375 -0.052727 3.11562 2.768784 0.063854 0.06846933296252664 2.848061 2.975534 0.20354 0.1085612383603528 4.1253 2.06265 3.8926000000000003 1.9463000000000001 3.8707
001 00 10 -3.030092468113793 76.94025 2.018988056156897 1 1 0 0 0 1 0 0 264.984 -158.417 157.29000000000002 0.8266641235933625 0.13589058574903304 150.474 -0.209251 -0.026355 3.253182 2.918173 0.031295 0.05107159877400881 2.883039 3.015539 0.107228 0.08958031242596401 3.8503 1.92515 3.7800000000000002 1.8900000000000001 3.9228
001 01 1 -1.9758736369317944 20.64625000000001 4.018271193628572 3 1 0 0 1 1 0 0 237.144 -74.283 36.014999999999986 0.675079827849507 0.26523519545475155 33.08949999999999 -0.105094 -0.047271 3.182607 2.885682 0.035102 0.04717699885890725 2.755485 3.079419 0.194232 0.03949485124671316 3.9605999999999995 0.9901499999999999 3.9716 0.9929 4.0018
001 01 2 -4.80755016149979 144.10225 3.0655545577719874 1 2 0 0 4 1 0 0 257.180 -217.775 217.238 0.09957742199799291 0.8714954867185667 168.3365 -0.039934 -0.005163 3.155699 2.80623 0.072651 0.03448724600969659 2.807494 2.934571 0.242037 0.10030086890451151 3.8896999999999995 1.2965666666666664 3.798 1.266 3.868
001 01 6 1.124158931288875 112.86325 3.0561412249805144 1 2 0 0 1 2 0 0 254.510 -183.866 159.922 -0.4641887920361175 1.7322134874683133 101.38300000000001 -0.072797 -0.069785 3.13819 2.853751 0.075334 0.06845755375656755 2.797982 2.997344 0.252543 0.05004042272336773 4.0076 1.3358666666666668 3.934 1.3113333333333335 3.9962
001 01 8 -0.8319244615300363 81.52425 2.0611377744751787 0 2 0 0 2 1 0 0 264.207 -162.224 281.68 0.990932973587049 0.006815719386638634 281.0415 0.034106 -0.060087 3.111076 2.780755 0.063518 0.061565974339186175 2.841952 2.983232 0.207759 0.11421462211264073 4.1474 2.0737 3.8996 1.9498 3.8811
001 01 10 -2.4040224938257495 74.95925 2.0191829678490283 1 1 0 0 0 1 0 0 265.890 -157.343 160.25900000000001 0.8429791774564924 0.12257741868440196 153.96800000000002 -0.211925 -0.031195 3.248466 2.925681 0.031178 0.04199728280496251 2.881156 3.017936 0.110084 0.09275327218486684 3.8646 1.9323 3.7841 1.89205 3.9146
