# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.13435659126943023 1.8540000000000028 4.0146553684391595 3 2 1 0 0 1.0972539335414568 20.852749999999986 28.048 1.419 9.255000000000003 0.7268503511615345 0.2198770729444507 8.623000000000005 0.051684 0.043297 0.906257 0.039746 0.818113 0.120408 0.943 0.9924 0.9906
001 00 4 -0.1212242471098719 1.8079999999999998 4.0146553684391595 3 2 1 0 0 1.0936456437124595 20.852749999999986 28.264 1.249 7.312000000000001 0.18900437636761408 0.7629299253795344 5.829500000000003 0.031324 0.039339 0.925362 0.040954 0.824382 0.117817 0.9463 1.013 1.0102
001 00 5 -0.13790036123518945 1.8550000000000004 4.0146553684391595 3 2 1 0 0 1.0972498788539329 20.852749999999986 28.047 1.420 9.255000000000003 0.7274986493787141 0.21931706185865898 8.624500000000001 0.051712 0.043287 0.906231 0.039744 0.818127 0.120405 0.943 0.9924 0.9906
001 00 7 -0.6131102551058021 6.787000000000003 3.0639210465526094 1 0 2 0 0 1.0893309036429197 164.27474999999998 31.805 -7.271 7.1320000000000014 0.38278182837913777 0.5473762745585681 6.031500000000001 0.069114 0.039717 0.889459 0.039178 0.820391 0.121761 0.9278 0.9993 1.0115
001 00 9 -0.3044610803160346 5.833000000000002 3.0584900338911774 1 0 2 0 0 1.0904777655192517 126.30574999999999 31.258 -5.770 5.824999999999999 0.562575107296137 0.3683500385505015 5.187999999999999 0.05336 0.046867 0.904012 0.040372 0.814255 0.120705 0.9128 1.0132 1.0115
001 00 11 -0.2919361396529858 2.5070000000000014 2.018988056156897 1 0 1 0 0 1.0629612411194682 88.73275 32.804 -3.990 11.757999999999996 0.9401258717468957 0.04558798135037132 11.581999999999994 0.063811 0.024728 0.889755 0.044737 0.824911 0.131412 1.011 1.102 1.0197
001 01 3 -0.14960228167075584 1.5010000000000012 4.018271193628572 3 2 1 0 0 1.0824026070366146 18.967749999999995 28.575 1.244 9.380000000000003 0.7300639658848614 0.21710300674516933 8.747000000000003 0.046381 0.038802 0.910554 0.040683 0.817029 0.124808 0.9483 0.9942 0.992
001 01 4 -0.12403130739207668 1.6670000000000016 4.018271193628572 3 2 1 0 0 1.088138476063364 18.967749999999995 28.439 1.215 7.304000000000002 0.14868565169769915 0.8111140099139056 5.749500000000001 0.028563 0.039056 0.927829 0.041219 0.822758 0.119247 0.9443 1.0144 1.0108
001 01 5 -0.14360228167075562 1.7330000000000005 4.018271193628572 3 2 1 0 0 1.091979794023644 18.967749999999995 28.185 1.402 9.515 0.6954282711508142 0.24725555997952364 8.790500000000002 0.050858 0.043391 0.907022 0.039804 0.816776 0.121275 0.942 0.9942 0.9915
001 01 7 -0.5978206297893642 6.614000000000001 3.0655545577719874 1 0 2 0 0 1.0811144889631532 162.16075 32.281 -7.574 7.477 0.36525344389461034 0.5658532708051829 6.290499999999998 0.062961 0.036161 0.89459 0.040132 0.819621 0.125335 0.9288 1.0023 1.0138
001 01 9 -0.29594351071270353 6.290000000000003 3.0561412249805144 1 0 2 0 0 1.1227269787174485 127.82475 30.267 -5.236 5.776 0.32963988919667464 0.6039933444259563 4.808 0.064037 0.05674 0.895756 0.0381 0.815993 0.111376 0.8981 1.0044 1.0076
001 01 11 -0.26469930672040576 2.8689999999999998 2.0191829678490283 1 0 1 0 0 1.0817975078027404 86.39975 32.119 -3.667 11.760999999999996 0.9398010373267578 0.04583908839778996 11.583999999999996 0.074198 0.034707 0.880926 0.043253 0.822814 0.125072 0.998 1.098 1.0169
001 02 3 -0.14457562918680011 2.926000000000002 3.9979709034248905 3 2 1 0 0 1.1432233108455583 22.07774999999998 26.681 1.714 9.276 0.7026735661923236 0.24090141501193754 8.586500000000001 0.063927 0.058073 0.897398 0.036582 0.81927 0.107612 0.9217 0.988 0.9859
001 02 4 -0.1224873260911643 2.389000000000003 3.9979709034248905 3 2 1 0 0 1.1166946331395438 22.07774999999998 27.858 1.074 7.0219999999999985 0.2477926516661913 0.6948171533806901 5.701499999999996 0.039061 0.045984 0.919014 0.039655 0.825194 0.112051 0.9381 1.0102 1.006
001 02 5 -0.1391371743073151 1.429000000000002 3.9979709034248905 3 2 1 0 0 1.0684074855888035 22.07774999999998 28.601 1.291 9.396999999999998 0.7352346493561768 0.21264957264957257 8.774999999999999 0.05047 0.030854 0.905795 0.041315 0.819416 0.129232 0.9672 0.9951 0.9939
001 02 7 -0.6842857433922944 6.713000000000001 3.0596979778229123 1 0 2 0 0 1.0734334340822862 168.30575 32.483 -7.874 8.421999999999997 0.21277606269294774 0.7350875896222927 6.764499999999998 0.058886 0.031301 0.897834 0.040913 0.819918 0.129182 0.9378 1.0049 1.016
001 02 9 -0.29904815566682785 6.399000000000001 3.0491815223638183 1 0 2 0 0 1.1239203760778917 132.72275 30.298 -5.376 5.952000000000002 0.4963037634408596 0.4321960595867378 5.202500000000001 0.064178 0.056589 0.895332 0.038355 0.815429 0.112066 0.8972 1.0032 1.0068
001 02 11 -0.4022782462696455 1.649000000000001 2.022133625457723 1 0 1 0 0 1.0208159574179525 93.44975 34.565 -4.893 11.16 0.9397849462365587 0.04585152838427926 10.992 0.03574 0.002775 0.914926 0.047484 0.829619 0.144726 1.0354 1.1196 1.0238
001 03 3 -0.14094400373537752 2.8590000000000018 4.012067472210593 3 2 1 0 0 1.143549409298877 21.69074999999998 26.583 1.879 9.279999999999998 0.7659482758620693 0.1864484376788369 8.736999999999998 0.066548 0.05861 0.89458 0.036768 0.819213 0.107175 0.9199 0.9851 0.9873
001 03 4 -0.1058556550994858 1.8100000000000023 4.012067472210593 3 2 1 0 0 1.0958714373275178 21.69074999999998 28.219 1.292 7.488000000000003 0.25160256410256404 0.6904879250862487 6.087000000000003 0.028242 0.037884 0.927995 0.041363 0.824323 0.119372 0.9465 1.0132 1.0095
001 03 5 -0.14035623571167122 2.2590000000000003 4.012067472210593 3 2 1 0 0 1.11278933236827 21.69074999999998 27.413 1.649 9.262 0.7629021809544388 0.18902788936072526 8.713000000000001 0.057746 0.047983 0.900985 0.039019 0.81875 0.116227 0.9366 0.9895 0.9892
001 03 7 -0.5606539962271633 6.547000000000001 3.0737932438901625 1 0 2 0 0 1.0935838575494474 155.80575 31.342 -6.568 5.981999999999999 0.7201604814443331 0.22566729576705308 5.563500000000001 0.064977 0.044758 0.894078 0.0387 0.818211 0.11925 0.913 0.9979 1.0121
