# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -1.2539729065732104 21.68949999999998 4.0146553684391595 3 1 0 0 1 1 0 0 241.954 -75.110 34.69200000000001 0.6366309235558625 0.2997574547010982 31.54050000000001 -0.268947 0.092426 3.235248 2.965094 0.065031 0.06129027122091514 2.661809 2.922947 0.293098 0.026136676248776015 3.9780999999999995 0.9945249999999999 3.8883 0.972075 3.9099
001 00 2 -10.588256390160751 151.48549999999997 3.0639210465526094 1 2 0 0 4 1 0 0 252.525 -215.476 239.79700000000003 0.041747811690721774 0.9451002327934389 182.3505 -0.105508 0.053954 3.236492 2.764553 0.096931 0.04468418052659504 2.717809 2.781634 0.406359 0.10951292745759894 3.9072000000000005 1.3024000000000002 3.7146999999999997 1.2382333333333333 3.8644
001 00 6 -3.8783360039073926 116.50249999999998 3.0584900338911774 1 2 0 0 1 2 0 0 253.753 -181.721 182.237 -0.4147291713537865 1.6416800387152641 117.783 -0.131321 -0.020591 3.22242 2.820519 0.08101 0.08038410621509702 2.705536 2.860915 0.41173 0.06781522639004704 4.0649 1.3549666666666667 3.8207000000000004 1.2735666666666667 3.8689
001 00 8 -3.4934994834841433 85.08649999999999 2.062114086178675 0 2 0 0 2 1 0 0 255.928 -152.480 292.085 0.9986168409880686 0.0010377280946901198 291.984 0.065607 -0.053605 3.19942 2.662719 0.061754 0.0983437147000255 2.78705 2.867807 0.35464 0.13134194522695333 4.1568 2.0784 3.6965 1.84825 3.7492
001 00 10 -9.58434246811376 83.49449999999997 2.018988056156897 1 1 0 0 0 1 0 0 262.360 -157.320 161.207 0.8484433058117826 0.11814389518952415 155.099 -0.266969 0.068458 3.370996 2.851936 0.038908 0.08847389220743788 2.818211 2.922908 0.159772 0.10166526887946215 3.8685 1.93425 3.5442 1.7721 3.677
001 01 1 -1.094123636931755 19.76449999999997 4.018271193628572 3 1 0 0 1 1 0 0 242.806 -74.036 32.99200000000002 0.6652521823472329 0.2739902748833985 30.231000000000023 -0.271925 0.100142 3.234252 2.96911 0.064996 0.06292425384009998 2.655497 2.919625 0.294292 0.025550740602443056 3.9794 0.99485 3.8868 0.9717 3.9081
001 01 2 -10.064800161499761 149.35949999999997 3.0655545577719874 1 2 0 0 4 1 0 0 253.203 -214.028 240.022 0.020931414620326473 0.9722848198154712 181.27249999999998 -0.112588 0.05017 3.237441 2.770773 0.096792 0.04506462323153272 2.713361 2.784395 0.410924 0.11058794012609753 3.9198 1.3066 3.7177999999999995 1.2392666666666665 3.8604
001 01 6 -4.160091068711111 118.14749999999998 3.0561412249805144 1 2 0 0 1 2 0 0 253.328 -182.941 180.478 -0.4414942541473199 1.6902376590132409 115.4385 -0.110207 -0.025076 3.21468 2.80853 0.079629 0.0779782396975806 2.711506 2.859006 0.412288 0.0649996284604766 4.0555 1.3518333333333334 3.8191999999999995 1.2730666666666666 3.8618
001 01 8 -3.238174461530022 83.93049999999998 2.0611377744751787 0 2 0 0 2 1 0 0 255.342 -150.739 288.54900000000004 0.9979067680012754 0.0015707459829818495 288.398 0.079152 -0.062103 3.186246 2.66195 0.062135 0.09544149664759734 2.783312 2.873961 0.35872 0.13616433992177737 4.1794 2.0897 3.7016 1.8508 3.7521
001 01 10 -8.754272493825738 81.30949999999999 2.0191829678490283 1 1 0 0 0 1 0 0 263.995 -156.770 164.231 0.8624011301155081 0.10687564438474854 158.5815 -0.28564 0.061045 3.376815 2.864846 0.038707 0.07544550483848148 2.818399 2.925086 0.162741 0.10419184506156584 3.8812 1.9406 3.5587999999999997 1.7793999999999999 3.6838
001 02 1 -1.5422245892260094 23.128499999999974 3.9979709034248905 3 1 0 0 1 1 0 0 241.878 -76.472 32.17499999999998 0.700326340326343 0.24295721413092816 29.76449999999997 -0.260864 0.084789 3.235787 2.956561 0.064917 0.06017528306539154 2.66977 2.925251 0.291153 0.023221540739867628 3.9835999999999996 0.9958999999999999 3.89 0.9725 3.9127
