# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.17985659126942366 1.8994999999999962 4.0146553684391595 3 2 1 0 0 1.0972539335414568 22.616500000000002 27.489 2.041 9.27 0.7277238403451991 0.21912258363236492 8.639 0.042993 0.040555 0.911488 0.043268 0.817595 0.123728 0.9422 0.9788 1.0029
001 00 4 -0.14272424710986797 1.829499999999996 4.0146553684391595 3 2 1 0 0 1.0936456437124595 22.616500000000002 28.620 0.981 7.163 0.19419237749546353 0.7568181818181834 5.719999999999999 0.025554 0.036493 0.928045 0.044118 0.8242 0.120931 0.9476 1.0022 1.0241
001 00 5 -0.18340036123518288 1.9004999999999939 4.0146553684391595 3 2 1 0 0 1.0972498788539329 22.616500000000002 27.487 2.043 9.269999999999996 0.7283710895361375 0.21856374052427532 8.640499999999996 0.043017 0.040543 0.911465 0.043268 0.817609 0.123725 0.9422 0.9788 1.0029
001 00 7 -0.5416102551057946 6.715499999999995 3.0639210465526094 1 0 2 0 0 1.0893309036429197 157.8295 32.879 -8.165 6.849 0.43466199445174375 0.49379357252167966 5.881 0.053308 0.035796 0.903062 0.041482 0.820151 0.125978 0.9305 1.0172 1.0301
001 00 9 -0.29296108031602586 5.821499999999993 3.0584900338911774 1 0 2 0 0 1.0904777655192517 121.01249999999999 31.706 -6.097 5.856999999999999 0.42598599965852846 0.5026412837635807 5.016499999999997 0.040152 0.044163 0.915442 0.042253 0.81332 0.124407 0.9136 1.0217 1.0237
001 00 11 -0.3744361396529783 2.589499999999994 2.018988056156897 1 0 1 0 0 1.0629612411194682 86.65549999999999 32.926 -4.086 11.263000000000002 0.9415786202610307 0.044465468306527964 11.098500000000001 0.056662 0.021263 0.894665 0.047173 0.822898 0.137021 1.0142 1.1006 1.0324
001 01 3 -0.1961022816707505 1.5474999999999959 4.018271193628572 3 2 1 0 0 1.0824026070366146 20.674499999999995 28.018 1.865 9.391999999999996 0.731473594548552 0.2158876904639616 8.761499999999998 0.039151 0.03623 0.914474 0.044062 0.816388 0.128104 0.9475 0.9798 1.0042
001 01 4 -0.14653130739207043 1.6894999999999953 4.018271193628572 3 2 1 0 0 1.088138476063364 20.674499999999995 28.875 0.866 7.161000000000001 0.1543080575338635 0.8043208783424833 5.6469999999999985 0.023362 0.036345 0.930006 0.044323 0.822472 0.122336 0.9455 1.0026 1.025
001 01 5 -0.18710228167075016 1.776499999999995 4.018271193628572 3 2 1 0 0 1.091979794023644 20.674499999999995 27.676 1.978 9.548999999999996 0.695256047753691 0.2474069035878249 8.821499999999997 0.043347 0.040762 0.911145 0.043255 0.816173 0.124575 0.9411 0.9791 1.0031
001 01 7 -0.5303206297893581 6.546499999999995 3.0655545577719874 1 0 2 0 0 1.0811144889631532 155.6395 33.346 -8.462 7.18 0.41810584958217306 0.5107163230380568 6.1355 0.049449 0.032372 0.906124 0.04222 0.819257 0.129554 0.9314 1.0178 1.032
