# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -2.8762229065732186 23.31174999999999 4.0146553684391595 3 1 0 0 1 1 0 0 236.919 -66.312 34.59800000000001 0.6668593560321421 0.2725552945627674 31.716499999999996 0.064615 -0.055136 2.974346 2.916004 0.043709 0.043015170684306256 2.750359 3.094441 0.193401 0.03969112765257917 3.96 0.99 3.9574 0.98935 3.9321
001 00 2 -11.51850639016078 152.41575 3.0639210465526094 1 2 0 0 4 1 0 0 255.538 -214.036 232.699 0.09216627488730068 0.8807744905106567 179.886 -0.050417 0.000802 3.145461 2.824687 0.07569 0.029766703114945968 2.801879 2.935992 0.240877 0.10876594931778977 3.8916 1.2972 3.8017000000000003 1.2672333333333334 3.7903
001 00 6 -4.074586003907399 116.69874999999999 3.0584900338911774 1 2 0 0 1 2 0 0 253.487 -176.267 177.361 -0.4217105226064356 1.6542485260929654 114.322 -0.108324 -0.072259 3.200724 2.828721 0.074406 0.08604947982023675 2.7815 3.016711 0.252152 0.05714919924490047 4.0182 1.3394000000000001 3.8979 1.2993 3.7323
001 00 8 -5.644749483484148 87.23774999999999 2.062114086178675 0 2 0 0 2 1 0 0 257.490 -150.809 286.529 0.9999860398074891 1.0470180924729876e-05 286.528 0.156648 -0.05299 3.025511 2.755371 0.053035 0.09465867741170554 2.838926 2.981023 0.207524 0.1146339088417268 4.1356 2.0678 3.6758 1.8379 3.4406
001 00 10 -10.684592468113777 84.59474999999999 2.018988056156897 1 1 0 0 0 1 0 0 263.175 -153.850 160.31 0.8407585303474518 0.12438282833532563 153.928 -0.237357 -0.031448 3.305044 2.900713 0.024739 0.04797806188596336 2.875172 3.025559 0.110606 0.0937169312895665 3.8808 1.9404 3.7922000000000002 1.8961000000000001 3.7534
001 01 1 -2.7693736369317605 21.439749999999975 4.018271193628572 3 1 0 0 1 1 0 0 237.528 -65.049 32.94200000000001 0.6932790965940125 0.2491451867438201 30.415999999999997 0.07546 -0.049494 2.967203 2.912255 0.043781 0.04170568358149764 2.743553 3.092945 0.195536 0.03912232501185649 3.9607 0.990175 3.9546 0.98865 3.9311
001 01 2 -11.110050161499771 150.40474999999998 3.0655545577719874 1 2 0 0 4 1 0 0 256.413 -212.900 232.621 0.0761367202445179 0.9009969618795539 178.89350000000002 -0.048966 -0.002328 3.13713 2.8306 0.076629 0.027460328372642093 2.797002 2.940093 0.244229 0.10989341543968867 3.9027000000000003 1.3009000000000002 3.8055999999999996 1.2685333333333333 3.7871
001 01 6 -4.327341068711121 118.31474999999999 3.0561412249805144 1 2 0 0 1 2 0 0 254.088 -178.484 175.775 -0.4494894040677001 1.7049402653485486 112.07900000000001 -0.127763 -0.07469 3.213303 2.834468 0.075471 0.08382294668128368 2.787972 3.013335 0.251639 0.05269624619458205 4.0105 1.3368333333333335 3.9054 1.3018 3.7355
001 01 8 -5.394424461530036 86.08675 2.0611377744751787 0 2 0 0 2 1 0 0 257.655 -149.823 283.099 0.9970116461026 0.002242941098493218 282.8875 0.156403 -0.060206 3.014969 2.765252 0.053686 0.08938189187040815 2.832967 2.988369 0.211724 0.11998877885452455 4.1583 2.07915 3.6841999999999997 1.8420999999999998 3.4469
001 01 10 -9.916522493825738 82.47174999999999 2.0191829678490283 1 1 0 0 0 1 0 0 263.959 -152.512 163.252 0.8562835371082744 0.11180437966407533 157.3865 -0.233716 -0.035754 3.298538 2.902576 0.025607 0.04413854524486884 2.873224 3.027297 0.113542 0.09667013871408278 3.8952999999999998 1.9476499999999999 3.7939 1.89695 3.7437
001 02 1 -3.079474589226038 24.665750000000003 3.9979709034248905 3 1 0 0 1 1 0 0 237.075 -67.822 32.185 0.7350939878825545 0.21277055916948145 30.053499999999985 0.045014 -0.059872 2.990627 2.918478 0.044486 0.043944046741282314 2.758735 3.093747 0.191012 0.0369277698396929 3.9635999999999996 0.9908999999999999 3.957 0.98925 3.9325
001 02 2 -12.6119176602339 155.71875 3.0596979778229123 1 2 0 0 4 1 0 0 255.711 -217.511 244.952 0.029785427349031588 0.9606765190958186 185.538 -0.047399 0.00125 3.15176 2.816941 0.074248 0.029390172785020055 2.803573 2.938652 0.236496 0.10998954755793845 3.8817000000000004 1.2939 3.7872 1.2624 3.79
001 02 6 -4.536377830178594 122.12174999999999 3.0491815223638183 1 2 0 0 1 2 0 0 253.873 -182.076 183.233 -0.434774303755328 1.6779509567392998 117.5085 -0.103 -0.076689 3.200793 2.822438 0.075261 0.0847854414999022 2.790047 3.014346 0.250679 0.05447618926650429 4.0155 1.3385 3.8855000000000004 1.2951666666666668 3.7141
001 02 8 -5.440908562685493 86.99074999999999 2.057569081350961 0 2 0 0 2 1 0 0 257.979 -151.052 290.235 0.9938877116819129 0.004591231971952241 289.79150000000004 0.140529 -0.051502 3.037333 2.759301 0.053354 0.09428167596622367 2.837659 2.978582 0.210123 0.11479636663385008 4.1296 2.0648 3.6740000000000004 1.8370000000000002 3.4376
001 02 10 -11.86384773915016 88.96074999999999 2.022133625457723 1 1 0 0 0 1 0 0 261.697 -156.739 148.161 0.8197231390176901 0.14158894853463483 141.4835 -0.215876 -0.01222 3.297912 2.887164 0.023942 0.054105007368388136 2.866101 3.016008 0.110787 0.09859922369369846 3.857 1.9285 3.7822000000000005 1.8911000000000002 3.7579
001 03 1 -2.812253641739744 24.205749999999995 4.012067472210593 3 1 0 0 1 1 0 0 236.448 -66.735 35.522999999999996 0.5408045491653283 0.38906026395293386 31.444999999999993 0.049604 -0.06712 2.970904 2.931897 0.046055 0.043557929507725635 2.756627 3.095063 0.198318 0.03410058002928009 3.9639 0.990975 3.9615 0.990375 3.9275
001 03 2 -10.458855790140774 144.82475 3.0737932438901625 1 2 0 0 4 1 0 0 254.985 -205.891 208.766 0.37183257810179815 0.5588955625891432 175.981 -0.043294 -0.008858 3.132834 2.826512 0.079072 0.031566870613561476 2.785528 2.940995 0.259297 0.11108346790739536 3.9133999999999998 1.3044666666666667 3.805 1.2683333333333333 3.7942
001 03 6 -2.812139226461696 110.04574999999998 3.067586915029515 1 2 0 0 1 2 0 0 252.410 -168.537 166.115 -0.3594557986936758 1.544517752841777 109.6585 -0.077505 -0.079529 3.170608 2.824601 0.077505 0.08305113734521247 2.762829 3.019664 0.272204 0.0629023787070092 4.0503 1.3501 3.8857999999999997 1.2952666666666666 3.733
001 03 8 -6.090381458425853 91.09174999999999 2.0731188289227043 0 2 0 0 2 1 0 0 257.755 -154.928 301.562 0.9772385114835425 0.01716881332417308 299.846 0.133374 -0.036832 3.066775 2.737863 0.053106 0.10558823197844228 2.849066 2.96087 0.204315 0.11075362591054672 4.0858 2.0429 3.673 1.8365 3.4446
001 03 10 -13.267955898389204 92.20374999999999 2.0190115082460456 1 1 0 0 0 1 0 0 261.703 -159.989 149.73199999999997 0.8498517351000456 0.11700315380798897 144.11149999999998 -0.227561 -0.014849 3.308452 2.889838 0.022943 0.05783870185553386 2.879983 3.016022 0.102253 0.09012178823310892 3.8262 1.9131 3.7735 1.88675 3.7695
001 04 1 -3.094060480995637 28.17474999999999 3.9973462048473465 3 1 0 0 1 1 0 0 237.620 -71.876 35.52099999999999 0.5770389347146765 0.3547300487958448 31.764999999999986 0.033273 -0.058177 3.002599 2.918257 0.044466 0.0408190792644812 2.762033 3.089834 0.190178 0.04135596479751537 3.9612 0.9903 3.9587000000000003 0.9896750000000001 3.9348
001 04 2 -10.956100054455646 152.09175 3.057384823520686 1 2 0 0 4 1 0 0 256.023 -214.196 208.65 0.1861873951593578 0.766256817860463 166.1995 -0.052984 -0.011729 3.146977 2.821687 0.079523 0.03592733980318241 2.809252 2.933203 0.247645 0.10425996252796821 3.9069000000000003 1.3023 3.7917000000000005 1.2639000000000002 3.7789
001 04 6 -2.9712795652114323 110.14474999999999 3.064094604189017 1 2 0 0 1 2 0 0 252.828 -169.054 163.065 -0.4228559163523749 1.6563170744475801 105.06049999999999 -0.075793 -0.084094 3.17034 2.824287 0.076454 0.0861437124403169 2.76933 3.02519 0.265608 0.06150667663216191 4.0616 1.3538666666666668 3.8773 1.2924333333333333 3.741
001 04 8 -6.737781066060705 92.79574999999998 2.071464854858228 0 2 0 0 2 1 0 0 257.835 -156.712 299.097 0.9836307284927631 0.012327401275040034 297.873 0.121085 -0.039324 3.076128 2.742382 0.051861 0.09919371626435483 2.860046 2.963087 0.194415 0.10251683300967378 4.0831 2.04155 3.6917999999999997 1.8458999999999999 3.5008
001 04 10 -12.732354280215588 89.48174999999999 2.0150433505155165 1 1 0 0 0 1 0 0 262.888 -158.451 162.934 0.8293051174095033 0.1337278258249402 155.981 -0.240465 -0.032482 3.304626 2.906081 0.023561 0.050581202895278544 2.892603 3.022816 0.100585 0.0810313707296954 3.8462 1.9231 3.7908 1.8954 3.7842
001 05 1 -2.582676084401072 21.32174999999998 4.009923721369365 3 1 0 0 1 1 0 0 239.696 -67.098 40.972999999999985 0.3892563395406743 0.5405997061958125 34.716999999999985 0.06266 -0.043125 2.981927 2.913276 0.040955 0.05075435194148377 2.747021 3.094456 0.185144 0.050604108571669734 3.9519999999999995 0.9879999999999999 3.9554000000000005 0.9888500000000001 3.9372
001 05 2 -11.495652177513847 154.91475 3.0435223550595514 1 2 0 0 4 1 0 0 256.099 -217.095 222.949 0.13820649565595725 0.8238401509304519 174.915 -0.081177 0.003596 3.174344 2.826014 0.076159 0.032428651380119605 2.820811 2.922302 0.233657 0.09888290393355838 3.8779000000000003 1.2926333333333335 3.8126 1.2708666666666668 3.7816
001 05 6 -4.4964183683237025 113.08975 3.0548432349368406 1 2 0 0 1 2 0 0 252.228 -171.398 180.175 -0.3866629665602884 1.5918302333187502 117.71450000000002 -0.074547 -0.037717 3.18838 2.81222 0.069679 0.09165384209258952 2.757458 3.010731 0.247204 0.08005558626979133 4.0301 1.3433666666666666 3.9168000000000003 1.3056 3.7341
001 05 8 -5.788027138379206 87.23874999999998 2.054866760963001 0 2 0 0 2 1 0 0 257.588 -150.909 278.95000000000005 0.9676142677899265 0.02448756105626662 276.6915 0.126047 -0.03672 3.07844 2.73588 0.050327 0.09965786841656478 2.832409 2.978721 0.196922 0.1132336288741114 4.1067 2.05335 3.6654999999999998 1.8327499999999999 3.4204
001 05 10 -7.786219259026296 74.85374999999999 2.0209073484751965 1 1 0 0 0 1 0 0 264.075 -145.011 183.046 0.8679566884826767 0.1024132291169383 177.0035 -0.173545 -0.020428 3.251111 2.888037 0.026748 0.04258106326760757 2.846836 3.023335 0.1252 0.10976165540084261 3.9711 1.98555 3.8238 1.9119 3.7281
001 06 1 -3.2741086824239005 33.844749999999976 3.91682175212302 3 1 0 0 1 1 0 0 237.311 -77.237 32.03999999999999 0.7554931335830193 0.19531938234463037 30.081500000000005 -0.047908 -0.09197 3.042024 2.952263 0.051669 0.04368166591756009 2.798244 3.083559 0.194791 0.02350252222634837 3.9755 0.993875 3.9604000000000004 0.9901000000000001 3.9225
001 06 2 -7.6819449904674855 134.01175 3.0634816378570644 1 2 0 0 4 1 0 0 255.844 -195.936 187.127 0.48702218279564147 0.44133170680872186 163.129 -0.003418 -0.04989 3.090708 2.824346 0.083157 0.025290660417105242 2.768691 2.974284 0.280733 0.11206398180950025 4.0316 1.3438666666666668 3.8385000000000002 1.2795 3.7766
001 06 6 -3.26739532800012 110.17474999999999 3.0682648418619967 1 2 0 0 1 2 0 0 253.816 -170.073 159.254 -0.4259484848104287 1.6619113600437152 102.482 -0.107969 -0.075271 3.192098 2.831732 0.079221 0.08063028559005196 2.774553 3.006753 0.269063 0.053579647780974904 4.0157 1.3385666666666667 3.8952 1.2984 3.7167
001 06 8 -5.139900925881605 83.75774999999999 2.06070024622675 0 2 0 0 2 1 0 0 257.813 -147.652 278.726 0.9787748541578468 0.016003780022867703 277.247 0.154234 -0.060509 3.006113 2.776356 0.053347 0.08406153383682692 2.825626 2.992414 0.213496 0.12142940870041873 4.1688 2.0844 3.6879999999999997 1.8439999999999999 3.4452
001 06 10 -8.969774922905586 80.82874999999999 2.017989382955205 1 1 0 0 0 1 0 0 264.380 -151.290 169.789 0.9060127570101713 0.07218658681117855 165.7995 -0.248727 -0.036394 3.313125 2.901872 0.026592 0.037797485648298525 2.870987 3.024987 0.116762 0.09968366406454639 3.9173 1.95865 3.8104999999999998 1.9052499999999999 3.738
001 07 1 -3.6008599095119393 33.923749999999984 3.983427755042377 3 1 0 0 1 1 0 0 241.749 -81.754 57.02000000000001 0.15366538056822215 0.8050961506378541 44.9555 0.01235 -0.022631 3.056276 2.893685 0.036724 0.043374478444510804 2.768215 3.07654 0.163999 0.0630311054506688 3.9114 0.97785 3.9394 0.98485 3.9327
001 07 2 -10.922252005033243 148.70974999999999 3.0350188255150243 1 2 0 0 4 1 0 0 257.235 -212.026 209.721 0.16187696987902986 0.7952140814824645 165.77800000000002 -0.04817 -0.000917 3.157349 2.818179 0.068255 0.019363488692209746 2.823122 2.9447 0.214302 0.10162443293322725 3.9192 1.3064 3.8132 1.2710666666666668 3.7595
001 07 6 -5.777421261249884 123.89574999999999 2.9816209845564132 1 2 0 0 1 2 0 0 254.985 -184.961 156.844 -0.5666777179872997 1.9315292465387315 95.41300000000001 -0.146042 -0.083262 3.230003 2.834932 0.076536 0.07877932744275833 2.820119 3.003813 0.239243 0.0446965590659206 4.0267 1.3422333333333334 3.9092000000000002 1.3030666666666668 3.7357
001 07 8 -4.633727722111217 83.94975 2.0524068990503235 0 2 0 0 2 1 0 0 258.449 -148.480 274.701 0.9745759935347886 0.019189976369731278 272.95500000000004 0.102681 -0.078848 3.058675 2.77525 0.053409 0.07892855589920125 2.824465 3.010513 0.210354 0.1298535923222765 4.2267 2.11335 3.7161 1.85805 3.5212
001 07 10 -7.4731201468442805 74.51674999999999 1.999311543963743 1 1 0 0 0 1 0 0 267.394 -147.991 182.18599999999998 0.9116507305720527 0.06775855681907479 178.16199999999998 -0.197869 -0.058893 3.253528 2.907299 0.029822 0.028341930779912185 2.869139 3.035828 0.124674 0.10198463696557439 3.9916 1.9958 3.8108000000000004 1.9054000000000002 3.7194
001 08 1 -3.047507388281616 28.44274999999999 3.9899569865137825 3 1 0 0 1 1 0 0 235.298 -69.822 52.46199999999999 0.3834013190499808 0.5467267605633799 44.375 0.019557 -0.008561 3.02373 2.918323 0.03737 0.0506210751993015 2.749141 3.073837 0.170535 0.06281780620439825 3.9028 0.9757 3.9619 0.990475 3.9441
001 08 2 -7.385346050294373 124.49574999999999 3.064307263767159 1 2 0 0 4 1 0 0 254.538 -185.115 203.521 0.03352479596700092 0.9557942680915992 154.3465 0.016555 0.007984 3.087872 2.818957 0.07168 0.016447262183516567 2.759596 2.954622 0.252071 0.11727627391903842 3.9929999999999994 1.3309999999999997 3.8549 1.2849666666666668 3.7796
001 08 6 -3.582629462758433 109.77774999999998 3.0311335572444333 1 2 0 0 1 2 0 0 254.513 -170.372 146.187 -0.43082490235109827 1.6707598913680175 93.895 -0.115467 -0.073182 3.19502 2.833895 0.081414 0.07232843376109661 2.781813 2.99355 0.272142 0.054337367845096594 4.058 1.3526666666666667 3.9046 1.3015333333333332 3.7164
