# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -3.4647229065732006 23.90024999999997 4.0146553684391595 3 1 0 0 1 1 0 0 239.688 -75.198 35.14100000000002 0.6791781679519651 0.2615979580787376 32.32250000000002 -0.024825 -0.050357 3.016032 2.954787 0.052167 0.04268195329410311 2.749298 3.084001 0.198919 0.03714364365989601 3.9603 0.990075 3.9581 0.989525 3.9342
001 00 2 -7.6990063901607755 148.59625 3.0639210465526094 1 2 0 0 4 1 0 0 256.016 -216.223 223.311 0.10427162119197009 0.8656411114541167 173.30450000000002 -0.058488 -0.001322 3.144285 2.834795 0.074963 0.027585309502221173 2.801635 2.940903 0.238346 0.10039211783302517 3.8816 1.2938666666666667 3.8102 1.2700666666666667 3.8232
001 00 6 -2.2160860039073924 114.84024999999998 3.0584900338911774 1 2 0 0 1 2 0 0 254.701 -181.151 167.951 -0.39683598192329916 1.609774841950211 109.301 -0.106168 -0.066243 3.180535 2.844592 0.07656 0.07376121057394144 2.781403 3.009501 0.253198 0.05709321749560097 4.0184 1.3394666666666666 3.9289 1.3096333333333334 3.7898
001 00 8 -5.1772494834841325 86.77024999999998 2.062114086178675 0 2 0 0 2 1 0 0 257.454 -155.834 280.852 0.9957415293464175 0.0031972568462999857 280.553 0.133499 -0.050113 3.051548 2.756844 0.04921 0.08399328391206841 2.841136 2.981087 0.202534 0.11017315698027358 4.1319 2.06595 3.7691 1.88455 3.5869
001 00 10 -7.301092468113765 81.21124999999998 2.018988056156897 1 1 0 0 0 1 0 0 265.670 -158.492 158.097 0.8478275995116923 0.11864284187858566 152.0825 -0.202063 -0.023883 3.247456 2.92666 0.021836 0.04593007508158461 2.87544 3.018945 0.109475 0.09279173786675901 3.864 1.932 3.7721999999999998 1.8860999999999999 3.7691
001 01 1 -3.3698736369317714 22.040249999999986 4.018271193628572 3 1 0 0 1 1 0 0 240.269 -73.919 33.458 0.70691613366011 0.23719220163514207 31.00649999999999 -0.012834 -0.044841 3.007903 2.951074 0.052051 0.041586122749462155 2.742372 3.082657 0.201118 0.03661321092629451 3.9607 0.990175 3.9572000000000003 0.9893000000000001 3.9337
001 01 2 -7.25955016149976 146.55424999999997 3.0655545577719874 1 2 0 0 4 1 0 0 256.808 -214.972 223.23600000000002 0.08737837983121005 0.8867927813422247 172.3035 -0.056423 -0.00424 3.136059 2.840244 0.075647 0.025830918818346312 2.79678 2.944876 0.241578 0.10175374018842416 3.8929 1.2976333333333334 3.8161 1.2720333333333333 3.8215
001 01 6 -2.581841068711114 116.56924999999998 3.0561412249805144 1 2 0 0 1 2 0 0 255.193 -183.372 166.39000000000001 -0.4263837971031911 1.6626998953818561 107.05600000000001 -0.124323 -0.068559 3.194232 2.847916 0.07764 0.07151645492006253 2.78793 3.006104 0.252569 0.05264474390034897 4.0107 1.3369 3.9371 1.3123666666666667 3.7932
001 01 8 -4.756924461530019 85.44924999999998 2.0611377744751787 0 2 0 0 2 1 0 0 257.668 -154.727 278.095 0.9979862996458044 0.001511035959058127 277.95500000000004 0.132368 -0.057116 3.040818 2.767795 0.049861 0.07754897909278581 2.835038 2.988297 0.206778 0.11566602099579636 4.1545000000000005 2.0772500000000003 3.7779 1.88895 3.5931
001 01 10 -6.732022493825738 79.28724999999999 2.0191829678490283 1 1 0 0 0 1 0 0 266.362 -157.259 161.047 0.8623879985345893 0.10688620732895412 155.50650000000002 -0.1954 -0.028193 3.238076 2.928425 0.022662 0.04174756834834818 2.873339 3.020771 0.112485 0.09558485394838107 3.8792 1.9396 3.7758000000000003 1.8879000000000001 3.7604
001 02 1 -3.809974589226016 25.39624999999998 3.9979709034248905 3 1 0 0 1 1 0 0 239.787 -76.793 33.09800000000001 0.7248776361109427 0.2215823370050141 30.821499999999986 -0.03796 -0.054612 3.028849 2.954302 0.052891 0.04294802526698217 2.757696 3.082861 0.196513 0.03436671276589212 3.9642 0.99105 3.9572999999999996 0.9893249999999999 3.9342
001 02 2 -8.371417660233874 151.47824999999997 3.0596979778229123 1 2 0 0 4 1 0 0 256.250 -219.338 234.32999999999998 0.04450134425809755 0.9415321732841055 178.3545 -0.054789 -0.000709 3.149782 2.827452 0.073236 0.029377867026045296 2.803416 2.943366 0.233864 0.10160264985389574 3.8703000000000003 1.2901 3.7939 1.2646333333333333 3.821
001 02 6 -2.2398778301785853 119.82524999999998 3.0491815223638183 1 2 0 0 1 2 0 0 255.049 -186.484 172.206 -0.4112980964658608 1.6355279391641806 111.44749999999999 -0.101542 -0.070581 3.183693 2.836028 0.077294 0.07308026042874596 2.790097 3.006993 0.251642 0.05440985645083066 4.016 1.3386666666666667 3.9184 1.3061333333333334 3.7745
001 02 8 -5.509408562685479 87.05924999999998 2.057569081350961 0 2 0 0 2 1 0 0 257.834 -156.502 282.12899999999996 0.9954914241357677 0.003385247559534583 281.811 0.122598 -0.048541 3.06104 2.757734 0.049684 0.08663433732841341 2.839844 2.978633 0.205102 0.11038129139638357 4.1259 2.06295 3.7643999999999997 1.8821999999999999 3.5777
