# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.20068992460275936 1.920333333333332 4.0146553684391595 3 2 1 0 0 1.0972539335414568 23.90024999999997 27.695 2.202 9.280999999999999 0.7327874151492284 0.21475580187045407 8.660999999999998 0.049132 0.036084 0.911227 0.037959 0.826316 0.120001 0.9422 0.9753 0.9929
001 00 4 -0.09355758044320339 1.7803333333333313 4.0146553684391595 3 2 1 0 0 1.0936456437124595 23.90024999999997 29.120 0.919 7.213999999999999 0.18602716939284858 0.766446223459799 5.745999999999999 0.028643 0.031907 0.930663 0.038975 0.833096 0.117162 0.9486 0.9993 1.0171
001 00 5 -0.20423369456852214 1.9213333333333331 4.0146553684391595 3 2 1 0 0 1.0972498788539329 23.90024999999997 27.693 2.204 9.279999999999998 0.7336206896551722 0.21403832833063977 8.661999999999999 0.049151 0.036073 0.911208 0.037959 0.826331 0.119998 0.9422 0.9752 0.9929
001 00 7 -0.31044358843913145 6.484333333333332 3.0639210465526094 1 0 2 0 0 1.0893309036429197 148.59625 33.262 -7.928 5.648 0.6643059490085009 0.2748357170467715 5.1739999999999995 0.043922 0.030317 0.916391 0.038027 0.828044 0.123901 0.9323 1.023 1.0277
001 00 9 -0.1387944136493644 5.667333333333332 3.0584900338911774 1 0 2 0 0 1.0904777655192517 114.84024999999998 32.111 -5.960 5.841999999999999 0.10167750770284172 0.8688741721854302 4.530000000000001 0.033636 0.039583 0.926533 0.038188 0.82087 0.121831 0.9138 1.0292 1.0198
001 00 11 -0.48126947298631606 2.6963333333333317 2.018988056156897 1 0 1 0 0 1.0629612411194682 81.21124999999998 33.509 -4.387 11.168000000000003 0.9777936962750725 0.016747703943813988 11.106000000000002 0.053562 0.017954 0.903523 0.042006 0.828587 0.134941 1.0147 1.1239 1.0292
001 01 3 -0.2149356150040873 1.5663333333333327 4.018271193628572 3 2 1 0 0 1.0824026070366146 22.040249999999986 28.209 2.042 9.403000000000002 0.7334893119217267 0.21415142710647744 8.776500000000002 0.046411 0.032063 0.913044 0.038803 0.824841 0.124363 0.9474 0.9767 0.9938
001 01 4 -0.09736464072540585 1.6403333333333308 4.018271193628572 3 2 1 0 0 1.088138476063364 22.040249999999986 29.394 0.785 7.205000000000002 0.14587092297015886 0.8145239565869568 5.666500000000003 0.026586 0.031841 0.932441 0.039234 0.831288 0.118578 0.9464 0.9994 1.018
001 01 5 -0.20793561500408586 1.7973333333333308 4.018271193628572 3 2 1 0 0 1.091979794023644 22.040249999999986 27.890 2.131 9.538999999999998 0.7020652059964346 0.24143399218440334 8.828499999999998 0.049497 0.036396 0.910797 0.038017 0.824746 0.1209 0.9411 0.9754 0.9931
001 01 7 -0.28915396312269337 6.30533333333333 3.0655545577719874 1 0 2 0 0 1.0811144889631532 146.55424999999997 33.713 -8.200 5.966999999999999 0.6349924585218713 0.30124481327800806 5.422499999999999 0.040182 0.027012 0.919279 0.038827 0.827064 0.127457 0.9331 1.0225 1.0293
001 01 9 -0.14327684404603147 6.137333333333331 3.0561412249805144 1 0 2 0 0 1.1227269787174485 116.56924999999998 31.240 -5.559 5.763999999999999 -0.10062456627342034 1.1388224030636656 4.178000000000001 0.037388 0.048176 0.924954 0.036134 0.823759 0.112562 0.8994 1.0233 1.0165
001 01 11 -0.4280326400537362 3.03233333333333 2.0191829678490283 1 0 1 0 0 1.0817975078027404 79.28724999999999 32.868 -4.082 11.171 0.9754722048160411 0.018509344742175245 11.1025 0.056548 0.027463 0.901678 0.040907 0.827176 0.128356 1.002 1.1238 1.0277
001 02 3 -0.194908962520131 2.976333333333333 3.9979709034248905 3 2 1 0 0 1.1432233108455583 25.39624999999998 26.425 2.418 9.3 0.7107526881720428 0.2338452622428279 8.627500000000001 0.050861 0.048949 0.912447 0.035201 0.829199 0.10728 0.9213 0.97 0.9901
001 02 4 -0.09882065942449358 2.365333333333332 3.9979709034248905 3 2 1 0 0 1.1166946331395438 25.39624999999998 28.718 0.736 6.881 0.24603981979363485 0.6968123209169044 5.584000000000003 0.031392 0.037751 0.929171 0.037803 0.834693 0.111344 0.9407 0.997 1.0139
001 02 5 -0.22147050764064602 1.511333333333333 3.9979709034248905 3 2 1 0 0 1.0684074855888035 25.39624999999998 28.272 2.035 9.404999999999998 0.7352472089314196 0.21263877028180997 8.782499999999999 0.057068 0.025199 0.901868 0.039271 0.82617 0.128795 0.9658 0.9793 0.9929
001 02 7 -0.3516190767256262 6.380333333333333 3.0596979778229123 1 0 2 0 0 1.0734334340822862 151.47824999999997 33.872 -8.435 6.759 0.44932682349460173 0.478939692888394 5.828499999999998 0.038877 0.022313 0.919845 0.039521 0.827182 0.131338 0.9422 1.0259 1.0307
001 02 9 -0.13238148900016 6.232333333333333 3.0491815223638183 1 0 2 0 0 1.1239203760778917 119.82524999999998 31.206 -5.620 5.908000000000001 -0.004062288422477548 1.00542372881356 4.425000000000001 0.036766 0.048098 0.925326 0.036358 0.823278 0.113099 0.8981 1.0175 1.0155
001 02 11 -0.602611579602975 1.8493333333333304 2.022133625457723 1 0 1 0 0 1.0208159574179525 85.35724999999998 35.112 -5.143 10.592000000000002 0.980551359516617 0.014657748683649007 10.540500000000002 0.040747 -0.003122 0.914424 0.043843 0.832125 0.148629 1.0388 1.1349 1.0307
001 03 3 -0.1952773370687062 2.9133333333333304 4.012067472210593 3 2 1 0 0 1.143549409298877 25.02724999999998 26.218 2.686 9.304000000000002 0.7747205503009462 0.17904328018223198 8.780000000000001 0.055083 0.049454 0.908292 0.035124 0.829185 0.106823 0.919 0.9644 0.9892
001 03 4 -0.09518898843281676 1.7993333333333332 4.012067472210593 3 2 1 0 0 1.0958714373275178 25.02724999999998 28.989 1.031 7.374000000000002 0.250067805804176 0.6922306601018104 5.991500000000002 0.026293 0.0304 0.93284 0.039138 0.833231 0.118566 0.9486 1.0001 1.0174
001 03 5 -0.2086895690450028 2.327333333333332 4.012067472210593 3 2 1 0 0 1.11278933236827 25.02724999999998 26.984 2.507 9.259999999999998 0.7738660907127428 0.1797630630115036 8.7365 0.052867 0.040434 0.908391 0.037117 0.82734 0.115724 0.9354 0.9706 0.9915
001 03 7 -0.29798732956049534 6.284333333333333 3.0737932438901625 1 0 2 0 0 1.0935838575494474 141.37724999999998 32.808 -7.274 4.885999999999999 0.8911174785100293 0.08394698085419679 4.753 0.039324 0.035319 0.921729 0.037308 0.826021 0.121262 0.9173 1.0241 1.0293
001 03 9 -0.14541647057529872 5.31133333333333 3.067586915029515 1 0 2 0 0 1.0776805329976273 108.50024999999998 32.145 -5.637 6.435000000000002 -0.03527583527583531 1.0475940874305472 4.769500000000004 0.03033 0.040313 0.929666 0.038325 0.815238 0.125669 0.9024 1.0292 1.0197
001 03 11 -0.6528748209678916 1.9273333333333333 2.0190115082460456 1 0 1 0 0 1.016966208794265 88.13824999999999 35.191 -5.299 10.841999999999999 0.984873639549899 0.011387834459772352 10.800999999999998 0.04681 -0.008492 0.907192 0.044933 0.832508 0.152897 1.0501 1.1153 1.0315
001 04 3 -0.2131897698884231 2.1983333333333306 3.9973462048473465 3 2 1 0 0 1.101653297741195 28.831249999999983 27.624 1.996 8.703 0.7635298173043791 0.1884960615497345 8.188499999999998 0.056247 0.035817 0.904411 0.037681 0.828281 0.118704 0.9464 0.9768 0.9915
001 04 4 -0.12633813587188314 1.1403333333333308 3.9973462048473465 3 2 1 0 0 1.0561730161093588 28.831249999999983 30.037 0.641 6.931999999999999 0.2582227351413738 0.6829894624988926 5.6465 0.030742 0.015313 0.92625 0.041131 0.833751 0.130012 0.9777 1.0026 1.0194
001 04 5 -0.17467224467429787 3.71233333333333 3.9973462048473465 3 2 1 0 0 1.1862124268743308 28.831249999999983 25.598 2.508 8.975999999999999 0.6506238859180044 0.28710937499999967 8.192 0.049544 0.057409 0.916883 0.032252 0.834442 0.095858 0.9026 0.9659 0.9894
001 04 7 -0.2633996201011364 7.34033333333333 3.057384823520686 1 0 2 0 0 1.1572192419146725 148.92825 31.303 -6.824 4.536999999999999 0.6839321137315427 0.25738901519684076 4.1785 0.056319 0.053369 0.90886 0.033423 0.83031 0.102887 0.8991 1.0127 1.0187
001 04 9 -0.1295483819777985 5.188333333333333 3.064094604189017 1 0 2 0 0 1.0707529548235624 108.67524999999998 32.599 -5.969 6.1030000000000015 0.0732426675405525 0.9046705054382603 4.689 0.027466 0.035719 0.931393 0.039436 0.817856 0.127161 0.9146 1.0306 1.0219
001 04 11 -0.5463308384423797 2.5983333333333327 2.0150433505155165 1 0 1 0 0 1.0481344171848428 85.51824999999998 33.753 -4.533 11.41 0.9714285714285714 0.021582733812949673 11.328499999999998 0.062082 0.007233 0.893216 0.043657 0.829485 0.143137 1.0332 1.0936 1.0283
001 05 3 -0.1693652614295793 1.77633333333333 4.009923721369365 3 2 1 0 0 1.095339615784776 21.800249999999977 28.393 1.649 9.005000000000003 0.8431982232093287 0.1223994452149791 8.652000000000001 0.051574 0.036184 0.908196 0.038534 0.825635 0.120496 0.9462 0.9792 0.9951
001 05 4 -0.0519605939602954 1.423333333333332 4.009923721369365 3 2 1 0 0 1.0831376317899817 21.800249999999977 30.455 -0.060 7.23 -0.056154910096819624 1.0763014470964105 5.320999999999998 0.009364 0.026687 0.947938 0.040913 0.828047 0.1261 0.9472 1.0012 1.02
001 05 5 -0.1654266040476422 1.0813333333333333 4.009923721369365 3 2 1 0 0 1.060019516840162 21.800249999999977 29.205 1.532 9.374999999999996 0.7279999999999999 0.2188841201716736 8.737499999999997 0.054957 0.022656 0.903911 0.039342 0.827513 0.129448 0.9713 0.9831 0.9977
001 05 7 -0.2652244780338222 7.173333333333332 3.0435223550595514 1 0 2 0 0 1.156095192014412 151.60224999999997 31.407 -6.762 5.062999999999999 0.5315030614260312 0.397986577181208 4.469999999999999 0.049022 0.043262 0.915665 0.033887 0.837571 0.105622 0.9114 1.0128 1.0151
001 05 9 -0.15700456797149442 3.3493333333333304 3.0548432349368406 1 0 2 0 0 0.9759502358207 111.28224999999998 36.540 -8.071 5.3870000000000005 0.8659736402450321 0.10400460962258723 5.206500000000002 0.008607 -0.014335 0.945363 0.043936 0.82021 0.164207 0.9878 1.0497 1.0282
001 05 11 -0.35005031960790944 0.7573333333333316 2.0209073484751965 1 0 1 0 0 1.022062254545979 71.82424999999998 35.034 -3.972 13.158999999999999 0.969906527851661 0.02274119448698279 13.060000000000002 0.03894 0.0026 0.917604 0.042505 0.83235 0.143223 1.0232 1.1302 1.0264
001 06 3 -0.16718979275053059 4.716333333333331 3.91682175212302 3 2 1 0 0 1.225789133066108 35.097249999999974 24.338 2.764 8.703000000000003 0.7311271975180977 0.216186252771619 8.118000000000002 0.051966 0.058732 0.916914 0.029935 0.840491 0.090079 0.8967 0.9518 0.9817
001 06 4 -0.05240836035973828 3.3263333333333307 3.91682175212302 3 2 1 0 0 1.1460169160663425 35.097249999999974 27.232 1.260 6.921000000000003 0.46106054038433564 0.4671453619437254 5.988500000000002 0.050825 0.039436 0.912068 0.035608 0.839758 0.106418 0.945 0.9946 1.0088
001 06 5 -0.1591896953037626 4.59333333333333 3.91682175212302 3 2 1 0 0 1.20870566628374 35.097249999999974 24.356 2.870 8.891000000000002 0.7302890563491176 0.2169088825906052 8.2915 0.073448 0.060173 0.894939 0.030375 0.837749 0.090871 0.9116 0.9592 0.9829
001 06 7 -0.26940022918330087 5.821333333333332 3.0634816378570644 1 0 2 0 0 1.0820857770930221 131.08724999999998 33.340 -7.343 5.802 0.5804894863840059 0.3514970636372385 5.1935 0.032641 0.035097 0.927685 0.037952 0.821044 0.125353 0.9053 1.0193 1.0306
001 06 9 -0.15117166608905208 6.1023333333333305 3.0682648418619967 1 0 2 0 0 1.1500953374181115 109.12124999999997 30.317 -4.600 6.327999999999999 -0.521807838179519 1.8422395102665503 3.920499999999997 0.030533 0.05591 0.934205 0.03383 0.82479 0.105306 0.8715 1.0221 1.0138
001 06 11 -0.32572544058460196 3.4513333333333307 2.017989382955205 1 0 1 0 0 1.1045230358063431 77.80424999999998 32.094 -3.728 11.306999999999999 0.9747059343769335 0.019091273196564545 11.235499999999998 0.06067 0.038896 0.899107 0.039402 0.824884 0.120824 0.9876 1.1305 1.0274
001 07 3 -0.1782773370687032 0.7113333333333323 3.983427755042377 3 2 1 0 0 1.0348031819772927 33.96524999999997 30.926 0.181 8.18 0.6183374083129585 0.3164403000202716 7.3995 0.04517 0.002883 0.911384 0.041518 0.831787 0.142469 1.0018 0.9959 0.9996
001 07 4 -0.05480296308423149 2.766333333333332 3.983427755042377 3 2 1 0 0 1.1464117355711867 33.96524999999997 28.662 0.389 6.013999999999999 0.021283671433321678 0.9718216840946623 4.542499999999997 0.03759 0.043688 0.924829 0.036081 0.839867 0.102149 0.9347 0.996 1.0137
001 07 5 -0.14990896252012575 1.9103333333333303 3.983427755042377 3 2 1 0 0 1.0678640100546182 33.96524999999997 29.245 0.664 8.706000000000003 0.5230875258442454 0.4061032863849765 7.668000000000003 0.052673 0.018086 0.906277 0.039323 0.828564 0.133513 0.9782 0.9936 0.9966
001 07 7 -0.30277677581450746 6.496333333333332 3.0350188255150243 1 0 2 0 0 1.0789655530466622 145.79224999999997 33.785 -8.463 5.413 0.2547570663218161 0.6869111136337825 4.404500000000002 0.050026 0.022638 0.909145 0.039183 0.829771 0.12918 0.9517 1.0178 1.0255
001 07 9 -0.14640836035973948 7.927333333333333 2.9816209845564132 1 0 2 0 0 1.2370802183179637 122.68024999999999 28.628 -4.738 6.231000000000002 -0.3895040924410194 1.5968277388417569 4.066500000000001 0.052004 0.071566 0.917088 0.029745 0.833533 0.084859 0.865 0.9957 1.003
001 07 11 -0.1840764020769754 4.520333333333333 1.999311543963743 1 0 1 0 0 1.167075764874839 71.62224999999998 29.877 -2.579 11.157 0.961817692928207 0.028912718881498715 11.0505 0.076861 0.062679 0.886285 0.036047 0.822167 0.103113 0.9547 1.087 1.017
001 08 3 -0.19669800735146126 -1.8096666666666685 3.9899569865137825 3 2 1 0 0 0.9488110468882095 28.75724999999997 32.626 1.003 8.741999999999997 0.7938686799359402 0.16299825122112999 8.2915 0.029862 -0.045736 0.922775 0.045062 0.831025 0.179912 1.0664 0.9989 0.9996
001 08 4 -0.0318295897153007 2.489333333333331 3.9899569865137825 3 2 1 0 0 1.1514166771422283 28.75724999999997 27.560 1.770 7.252999999999997 0.4054873845305396 0.5237246963562754 6.174999999999997 0.040179 0.047703 0.92291 0.035408 0.83792 0.100476 0.9269 0.998 1.0114
001 08 5 -0.08749675390402345 2.7753333333333323 3.9899569865137825 3 2 1 0 0 1.1601060173111335 28.75724999999997 26.753 2.290 8.872999999999998 0.6968330891468489 0.24602158404975275 8.200499999999998 0.04212 0.049095 0.921631 0.034781 0.834054 0.103276 0.9177 0.9806 0.993
001 08 7 -0.3273644782021172 4.21533333333333 3.064307263767159 1 0 2 0 0 0.9897849602418142 122.27224999999999 36.152 -8.549 5.794999999999998 0.5920621225194143 0.34069946195234413 5.203999999999997 0.020232 -0.004426 0.935411 0.042435 0.820821 0.156118 0.9712 1.0385 1.0396
001 08 9 -0.17225062085806186 7.16033333333333 3.0311335572444333 1 0 2 0 0 1.2006082079397675 109.22724999999998 28.798 -4.139 7.573 -0.392050706457151 1.6013164556962023 4.9375 0.044768 0.070581 0.923272 0.030775 0.827022 0.091056 0.8563 1.0155 1.0044
001 08 11 -0.21107672359710605 4.287333333333333 2.001470884892844 1 0 1 0 0 1.153743934175196 72.62624999999998 30.422 -2.891 11.608 0.9724328049620963 0.020818875780707874 11.527999999999999 0.072587 0.05646 0.889819 0.036815 0.822627 0.108177 0.9679 1.1135 1.0222
001 09 3 -0.19867222309089883 -0.04066666666667018 3.858250298614019 3 2 1 0 0 1.01533497894782 34.17524999999998 32.067 -0.208 7.5340000000000025 0.7247146270241556 0.22172332691896554 7.015500000000003 0.045718 -0.005731 0.909411 0.042795 0.829976 0.150952 1.0146 0.9958 0.9987
001 09 4 -0.20172385173675877 -0.3356666666666719 3.858250298614019 3 2 1 0 0 0.9848896077213019 34.17524999999998 33.346 -1.192 6.397999999999996 0.056267583619880046 0.9263577784596496 4.888499999999997 0.028797 -0.02349 0.92423 0.04481 0.834325 0.16051 1.0412 1.0081 1.0202
001 09 5 -0.0945496826081822 3.767333333333333 3.858250298614019 3 2 1 0 0 1.1647195309174951 34.17524999999998 27.198 0.853 7.984999999999999 0.488040075140889 0.44032744506678173 6.963000000000001 0.065709 0.052956 0.898897 0.034095 0.830165 0.103844 0.9322 0.9873 0.995
001 09 7 -0.6191713084851038 6.992333333333331 2.9538308124806596 1 0 2 0 0 1.0332673147820508 169.26024999999998 35.293 -10.467 9.744 -0.22229064039408908 1.3201064065617367 6.766500000000001 0.056453 -0.004534 0.899931 0.041813 0.832691 0.149427 1.0001 1.0245 1.0219
001 09 9 -0.1906357228257214 4.489333333333331 3.0449911693212184 1 0 2 0 0 1.0097963399505365 108.43424999999998 33.996 -6.667 7.521000000000001 0.612019678234277 0.3222410365898558 6.791499999999999 0.02088 0.015632 0.935183 0.041991 0.809213 0.149507 0.9382 1.0404 1.0135
001 09 11 -0.5160764020769726 5.418333333333333 2.0145093848734827 1 0 1 0 0 1.1397860309851753 96.29024999999999 30.280 -3.880 8.303 0.8959412260628675 0.08012860145913231 8.087 0.088525 0.049026 0.871613 0.038912 0.820213 0.11684 0.986 1.0744 1.0197
002 00 5 -0.03510186732028586 2.1323333333333316 4.212564560926027 2 1 2 0 0 1.0949794303995304 28.35024999999999 31.146 -1.460 6.978999999999999 0.8796389167502507 0.09307135470527447 6.768999999999998 0.039701 0.022132 0.919494 0.039061 0.833581 0.12632 0.945 1.0025 1.0179
002 00 6 -0.13751414531678918 1.90433333333333 4.212564560926027 2 1 2 0 0 1.0941576172311418 28.35024999999999 29.953 -0.039 10.067 0.9527167974570376 0.03588661037394444 9.948 0.05413 0.012099 0.905676 0.038444 0.844365 0.125887 0.9629 0.99 1.0039
002 00 7 -0.03410186732028819 2.1323333333333316 4.2125644973499226 2 1 2 0 0 1.0949795144419323 28.35024999999999 31.146 -1.460 6.978999999999999 0.8796389167502507 0.09307135470527447 6.768999999999998 0.039699 0.022132 0.919495 0.039062 0.833581 0.12632 0.945 1.0025 1.0179
002 00 8 -0.13751414531678918 1.90433333333333 4.2125644973499226 2 1 2 0 0 1.0941575876977 28.35024999999999 29.953 -0.039 10.067 0.9527167974570376 0.03588661037394444 9.948 0.05413 0.012099 0.905676 0.038444 0.844365 0.125887 0.9629 0.99 1.0039
002 00 9 -0.13651414531678796 1.90433333333333 4.212564566784915 2 1 2 0 0 1.094157808075348 28.35024999999999 29.953 -0.039 10.067 0.9527167974570376 0.03588661037394444 9.948 0.054129 0.012099 0.905677 0.038444 0.844365 0.125887 0.9629 0.99 1.0039
002 00 10 -0.03410186732028819 2.1323333333333316 4.212564566784915 2 1 2 0 0 1.0949792342279463 28.35024999999999 31.146 -1.460 6.978999999999999 0.8796389167502507 0.09307135470527447 6.768999999999998 0.039698 0.022131 0.919496 0.039062 0.833581 0.12632 0.945 1.0025 1.0179
002 00 11 -0.03410186732028819 2.1323333333333316 4.212564508675041 2 1 2 0 0 1.0949792953483366 28.35024999999999 31.146 -1.460 6.978999999999999 0.8796389167502507 0.09307135470527447 6.768999999999998 0.039698 0.022131 0.919496 0.039062 0.833582 0.12632 0.945 1.0025 1.0179
002 00 12 -0.13751414531678918 1.90433333333333 4.212564508675041 2 1 2 0 0 1.0941577842795298 28.35024999999999 29.953 -0.039 10.067 0.9527167974570376 0.03588661037394444 9.948 0.054129 0.012099 0.905677 0.038444 0.844365 0.125887 0.9629 0.99 1.0039
002 01 5 -0.03477746687380545 2.204333333333331 4.206569497836989 2 1 2 0 0 1.1026885457076854 26.859249999999975 31.003 -1.389 7.145999999999997 0.8522250209907649 0.1150828247602439 6.881999999999998 0.036633 0.02498 0.92306 0.038595 0.83355 0.124034 0.9372 1.0014 1.0161
002 01 6 -0.1494266040476404 1.4673333333333325 4.206569497836989 2 1 2 0 0 1.0771299260399045 26.859249999999975 30.387 -0.036 10.204999999999998 0.9766780989710916 0.017594007195308226 10.145499999999998 0.052325 0.006441 0.906252 0.039595 0.843023 0.131551 0.9703 0.991 1.0056
002 01 7 -0.022970074002817142 1.6563333333333325 4.193722268789637 2 1 2 0 0 1.0764163616399514 26.64024999999998 31.620 -1.459 7.088999999999999 0.8690929609253752 0.1015021146273885 6.856999999999999 0.038761 0.015635 0.919203 0.04022 0.832249 0.132729 0.9563 1.004 1.0205
002 01 8 -0.13029444191169048 1.420333333333332 4.193722268789637 2 1 2 0 0 1.0705621597639392 26.64024999999998 30.679 -0.281 10.127000000000002 0.9470721832724396 0.04022815971179835 9.993000000000002 0.055176 0.00491 0.903066 0.039911 0.841924 0.133682 0.9761 0.9939 1.0053
002 01 9 -0.12983849581075546 1.644333333333332 4.20170916776108 2 1 2 0 0 1.0830713894071065 27.76924999999997 30.233 -0.060 10.093 0.962151986525313 0.028657164291073133 9.997499999999999 0.056173 0.008316 0.902787 0.039239 0.843603 0.12963 0.9708 0.99 1.0049
002 01 10 -0.03264570462325267 1.8493333333333304 4.20170916776108 2 1 2 0 0 1.083263674258105 27.76924999999997 31.580 -1.610 6.921000000000003 0.8922121080768672 0.08307966441458185 6.734500000000004 0.038136 0.017686 0.920186 0.039883 0.832554 0.130854 0.9527 1.0051 1.0188
002 01 11 -0.03918979275053758 2.272333333333332 4.196646634918876 2 1 2 0 0 1.1046395958289066 27.627249999999975 30.881 -1.334 7.068999999999999 0.8661762625548186 0.10384193194291973 6.8325 0.036182 0.024497 0.923554 0.038556 0.834487 0.12373 0.9381 1.0004 1.0156
002 01 12 -0.151514431676528 1.7093333333333298 4.196646634918876 2 1 2 0 0 1.0892234846178355 27.627249999999975 30.081 0.028 10.229 0.965196988952976 0.026331360946745676 10.14 0.052143 0.010355 0.907323 0.038759 0.84414 0.127462 0.9644 0.9902 1.0041
002 02 5 -0.04866334104406178 1.7963333333333331 4.235919941009377 2 1 2 0 0 1.065491454736799 31.397249999999985 31.785 -1.764 6.687999999999999 0.8561602870813392 0.11190383869716894 6.447499999999998 0.043927 0.01087 0.913297 0.040891 0.832759 0.136078 0.9675 1.0067 1.0222
002 02 6 -0.11699660213521668 2.986333333333331 4.235919941009377 2 1 2 0 0 1.1481642695137877 31.397249999999985 28.629 0.203 10.083999999999996 0.9155097183657289 0.06473508256508946 9.870999999999995 0.05 0.025366 0.913488 0.034984 0.85026 0.110201 0.938 0.9863 1.0004
002 02 7 -0.04110193368710213 2.21533333333333 4.215316037531586 2 1 2 0 0 1.091464674718481 30.814249999999987 31.105 -1.502 6.6839999999999975 0.9587073608617595 0.031292517006802294 6.614999999999998 0.047657 0.021341 0.911445 0.039133 0.833884 0.126611 0.9523 1.0039 1.0173
002 02 8 -0.12636518667513386 2.5523333333333333 4.215316037531586 2 1 2 0 0 1.1254012102816533 30.814249999999987 29.171 0.096 10.035999999999998 0.8591072140294947 0.10952749806351686 9.682499999999997 0.050385 0.019612 0.911301 0.036692 0.847411 0.117417 0.95 0.9889 1.0023
002 02 9 -0.13682113173707933 2.3483333333333327 4.247003363317451 2 1 2 0 0 1.1219614217188532 27.466249999999974 29.249 0.222 10.231999999999996 0.9315871774824085 0.0522024460574721 10.056999999999995 0.041903 0.019637 0.919218 0.037221 0.845959 0.11858 0.9427 0.9867 1.0022
002 02 10 -0.04420711301998992 1.6113333333333308 4.247003363317451 2 1 2 0 0 1.0659868460329425 27.466249999999974 31.803 -1.596 6.922000000000001 0.9219878647789652 0.05967290408133184 6.786999999999999 0.040227 0.013563 0.916725 0.041149 0.830357 0.135777 0.9599 1.004 1.0209
002 02 11 -0.05966304819807178 1.4743333333333304 4.226386421741981 2 1 2 0 0 1.0601015997726728 25.76324999999997 31.950 -1.605 7.027999999999995 0.8483210017074544 0.11824299341861956 6.761499999999998 0.040776 0.013653 0.916303 0.04102 0.828821 0.136686 0.9594 1.0058 1.0221
002 02 12 -0.1389700908318403 1.8523333333333305 4.226386421741981 2 1 2 0 0 1.096708420719263 25.76324999999997 29.794 0.172 10.322999999999997 0.9263779908941198 0.05625185038981531 10.132999999999996 0.046719 0.01473 0.912894 0.038642 0.842484 0.125306 0.9543 0.9903 1.0052
002 03 5 -0.03614572353101053 3.2523333333333326 4.279970537967556 2 1 2 0 0 1.1502621701379558 28.76524999999998 29.546 -0.980 7.334 0.8194709571857106 0.14179637298300707 7.003 0.033195 0.039537 0.929752 0.035539 0.836703 0.109358 0.9033 0.9888 1.0111
002 03 6 -0.16638253337483633 2.1613333333333316 4.279970537967556 2 1 2 0 0 1.1036798626945408 28.76524999999998 29.407 0.250 10.183 0.9279190808209756 0.055052752637632006 9.999499999999998 0.051785 0.016719 0.908881 0.037639 0.844152 0.122142 0.9483 0.985 1.0017
002 03 7 -0.021057938389525077 2.5523333333333333 4.265744765932275 2 1 2 0 0 1.1177548208336254 26.22324999999998 30.261 -0.996 7.513999999999999 0.8299174873569325 0.13322677044964965 7.194499999999998 0.038616 0.032941 0.922335 0.037419 0.832308 0.118396 0.9217 0.9963 1.0161
002 03 8 -0.1499870983136553 1.6923333333333304 4.265744765932275 2 1 2 0 0 1.072165023681308 26.22324999999998 30.276 -0.150 10.233000000000004 0.8885957197302847 0.08594692400482512 9.948000000000004 0.057297 0.008651 0.901421 0.039463 0.839627 0.132337 0.967 0.991 1.0028
002 03 9 -0.1354698621812105 1.9243333333333332 4.284299825204673 2 1 2 0 0 1.0955163911213057 28.486249999999984 30.053 -0.158 9.939000000000004 0.8730254552771906 0.09835299007637552 9.623500000000003 0.053492 0.013353 0.906088 0.038662 0.843157 0.12589 0.9588 0.9868 1.0026
002 03 10 -0.02910193368710523 2.045333333333332 4.284299825204673 2 1 2 0 0 1.0924137696725083 28.486249999999984 31.355 -1.582 7.193999999999999 0.8001112037809301 0.15780232643207212 6.8344999999999985 0.034842 0.020611 0.923645 0.039735 0.832375 0.128739 0.9428 0.9993 1.0176
002 03 11 -0.041777489760931985 3.2233333333333327 4.247566950966728 2 1 2 0 0 1.1402910929484673 33.02724999999998 29.894 -1.300 6.8679999999999986 0.8861386138613861 0.08789808917197411 6.672499999999999 0.040862 0.033537 0.921601 0.035992 0.838388 0.113107 0.9209 0.9967 1.0114
002 03 12 -0.13714586436198317 3.1903333333333315 4.247566950966728 2 1 2 0 0 1.1514038180211232 33.02724999999998 28.379 0.250 9.817 0.9331771416929809 0.050968610794571524 9.652999999999999 0.059152 0.027885 0.905376 0.033977 0.850281 0.107886 0.9357 0.9806 0.9971
002 04 5 -0.07047050764064267 2.80533333333333 4.128745929583949 2 1 2 0 0 1.1125381826281875 34.111249999999984 30.789 -1.777 6.329000000000001 0.9244746405435296 0.05773411707866996 6.2094999999999985 0.038838 0.024132 0.92156 0.037951 0.83567 0.123375 0.9383 0.9992 1.013
002 04 6 -0.13247010944292725 3.2553333333333327 4.128745929583949 2 1 2 0 0 1.1476224360514828 34.111249999999984 28.372 0.192 9.702000000000002 0.9138321995464846 0.06604866743916554 9.493000000000002 0.069826 0.02892 0.894289 0.034386 0.847565 0.1094 0.9416 0.9795 0.996
