# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.22168992460276016 1.9413333333333327 4.0146553684391595 3 2 1 0 0 1.0972539335414568 22.53925000000001 27.313 2.107 9.188000000000002 0.6887244231606436 0.25315708721822233 8.473000000000003 0.06125 0.038368 0.892181 0.043875 0.817392 0.125874 0.9403 0.9793 1.0021
001 00 4 -0.07855758044320638 1.7653333333333343 4.0146553684391595 3 2 1 0 0 1.0936456437124595 22.53925000000001 28.581 1.014 6.7209999999999965 0.21946138967415754 0.7273315463536375 5.409499999999998 0.039504 0.033274 0.912463 0.045258 0.824807 0.123286 0.9466 1.0035 1.0239
001 00 5 -0.2242336945685217 1.9413333333333327 4.0146553684391595 3 2 1 0 0 1.0972498788539329 22.53925000000001 27.311 2.109 9.187000000000001 0.6893436377489933 0.252611081607364 8.473500000000001 0.061267 0.038356 0.892166 0.043873 0.817407 0.125872 0.9403 0.9793 1.0021
001 00 7 -0.3894435884391356 6.563333333333336 3.0639210465526094 1 0 2 0 0 1.0893309036429197 146.26725 32.770 -7.972 5.783999999999999 0.4751037344398343 0.45313432835820944 5.024999999999999 0.081073 0.031576 0.872279 0.04395 0.820659 0.129253 0.9288 0.9774 1.0158
001 00 9 -0.20379441364936568 5.732333333333333 3.0584900338911774 1 0 2 0 0 1.0904777655192517 111.19924999999999 30.840 -5.211 5.389000000000003 0.20059380218964734 0.7493042671614101 4.312000000000001 0.06337 0.040623 0.888439 0.045492 0.813817 0.127089 0.9105 0.9739 1.0141
001 00 11 -0.500269472986318 2.7153333333333336 2.018988056156897 1 0 1 0 0 1.0629612411194682 76.94025 32.504 -3.858 11.341000000000001 0.9356317785027772 0.04906573464175319 11.1585 0.085059 0.019703 0.864356 0.048937 0.820958 0.140068 1.0136 1.044 1.0229
001 01 3 -0.23993561500408944 1.5913333333333348 4.018271193628572 3 2 1 0 0 1.0824026070366146 20.64625000000001 27.818 1.951 9.302 0.6921092238228341 0.2501747030048914 8.585999999999999 0.05513 0.03382 0.896877 0.045202 0.816399 0.130282 0.9456 0.9822 1.0041
001 01 4 -0.07736464072540983 1.6203333333333347 4.018271193628572 3 2 1 0 0 1.088138476063364 20.64625000000001 28.805 0.936 6.704999999999998 0.1746457867263241 0.7799492624260098 5.321499999999997 0.03607 0.033008 0.915427 0.04569 0.823219 0.12468 0.9444 1.0049 1.025
001 01 5 -0.22993561500408788 1.8193333333333328 4.018271193628572 3 2 1 0 0 1.091979794023644 20.64625000000001 27.483 2.059 9.471 0.6549466793369235 0.28322163161543806 8.654 0.05991 0.038556 0.893321 0.044065 0.816021 0.126696 0.9391 0.9815 1.0034
001 01 7 -0.3671539631226963 6.383333333333333 3.0655545577719874 1 0 2 0 0 1.0811144889631532 144.10225 33.233 -8.255 6.079999999999998 0.4585526315789487 0.4696595016168912 5.256999999999998 0.074588 0.027913 0.877487 0.045146 0.819993 0.132855 0.9296 0.9803 1.0187
001 01 9 -0.20127684404603485 6.195333333333334 3.0561412249805144 1 0 2 0 0 1.1227269787174485 112.86325 29.901 -4.735 5.3309999999999995 -0.024198086662914613 1.0325264750378222 3.9659999999999975 0.073677 0.050286 0.881456 0.042395 0.815801 0.117658 0.8956 0.9642 1.0095
001 01 11 -0.43303264005373876 3.0373333333333328 2.0191829678490283 1 0 1 0 0 1.0817975078027404 74.95925 31.826 -3.503 11.347999999999999 0.9349665139231589 0.04958122452635821 11.163499999999999 0.096269 0.029919 0.855039 0.047075 0.818974 0.133329 1.0006 1.0396 1.0199
001 02 3 -0.21490896252013414 2.996333333333336 3.9979709034248905 3 2 1 0 0 1.1432233108455583 24.036249999999995 25.919 2.447 9.267 0.6581417934606661 0.28035398230088476 8.475000000000001 0.07462 0.05313 0.883396 0.039612 0.818733 0.112818 0.9188 0.9708 0.9949
001 02 4 -0.08482065942449424 2.351333333333333 3.9979709034248905 3 2 1 0 0 1.1166946331395438 24.036249999999995 28.130 0.880 6.387999999999998 0.2692548528490925 0.6705611951733388 5.2209999999999965 0.048374 0.039964 0.905652 0.043342 0.825643 0.117392 0.9385 0.9986 1.0184
001 02 5 -0.27047050764064906 1.560333333333336 3.9979709034248905 3 2 1 0 0 1.0684074855888035 24.036249999999995 27.955 1.846 9.283000000000005 0.7000969514165667 0.2431582624898105 8.587000000000003 0.058967 0.026114 0.892121 0.046061 0.818312 0.13497 0.9645 0.985 1.0068
001 02 7 -0.4416190767256296 6.470333333333336 3.0596979778229123 1 0 2 0 0 1.0734334340822862 149.16125 33.482 -8.591 6.898000000000003 0.2867497825456665 0.6510232886379679 5.668000000000003 0.070388 0.022816 0.880693 0.046077 0.820397 0.136846 0.9389 0.9846 1.0212
