# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
# compound structure atom shift_high-low shift_low CN(X) no_CH no_CC no_CN no_CO no_CYH no_CYC no_CYN no_CYO shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_mull_d orb_stdev_mull_p orb_charge_loew_s orb_charge_loew_p orb_charge_loew_d orb_stdev_loew_p BO_loew_sum BO_loew_av BO_mayer_sum BO_mayer_av mayer_VA
001 00 1 -1.4627229065732479 21.89825000000002 4.0146553684391595 3 1 0 0 1 1 0 0 243.473 -77.474 34.98600000000002 0.6181329674727049 0.3166276938633639 31.646000000000015 -0.343901 -0.295327 3.217256 3.065037 0.058256 0.06207514765991291 2.82609 3.184764 0.259541 0.01237957725449463 3.9911999999999996 0.9977999999999999 3.8715 0.967875 3.9187
001 00 2 -11.914006390160807 152.81125000000003 3.0639210465526094 1 2 0 0 4 1 0 0 256.157 -221.069 242.47899999999998 0.03358228960033656 0.955719296337584 183.895 -0.054987 -0.153935 3.158944 2.794171 0.094885 0.01827550810055179 2.791107 2.923839 0.397516 0.11363479535775999 4.082 1.3606666666666667 3.7925 1.2641666666666667 3.8439
001 00 6 -4.475086003907421 117.09925000000001 3.0584900338911774 1 2 0 0 1 2 0 0 255.080 -184.281 183.00300000000001 -0.4231569974262717 1.6568611234811372 117.89250000000001 -0.309525 -0.173855 3.305596 2.897551 0.099747 0.05201478878165324 2.768542 2.972226 0.390981 0.0637634551526186 4.1037 1.3679 4.0763 1.3587666666666667 4.0711
001 00 8 -3.742249483484173 85.33525000000002 2.062114086178675 0 2 0 0 2 1 0 0 254.125 -151.562 294.064 0.9984697208770879 0.0011481485891380067 293.9515 -0.003531 -0.109771 3.270201 2.61907 0.103339 0.12046584444148478 2.800764 2.912596 0.349793 0.14270411342004122 4.2599 2.12995 3.9259 1.96295 3.9364
001 00 10 -9.147092468113811 83.05725000000002 2.018988056156897 1 1 0 0 0 1 0 0 269.818 -164.976 161.69400000000002 0.8415030860761686 0.12377726403369245 155.28700000000003 -0.110839 -0.093758 3.116982 2.98615 0.001224 0.007422587576669905 2.893864 3.03326 0.130164 0.09154365796893486 3.811 1.9055 3.6225 1.81125 3.6431
001 01 1 -1.312873636931812 19.983250000000027 4.018271193628572 3 1 0 0 1 1 0 0 243.841 -75.926 33.252999999999986 0.64532523381349 0.29188734346384154 30.30449999999999 -0.33416 -0.290347 3.214596 3.058845 0.057364 0.06262889428211232 2.819943 3.184937 0.259861 0.010104241996970074 3.9904 0.9976 3.8722000000000003 0.9680500000000001 3.9184
001 01 2 -11.389550161499812 150.68425000000002 3.0655545577719874 1 2 0 0 4 1 0 0 256.855 -219.641 242.652 0.013088703163377928 0.9826242046579824 182.783 -0.058436 -0.159905 3.154291 2.799946 0.097157 0.01766343461315872 2.787413 2.927878 0.402459 0.11436062060575454 4.0937 1.3645666666666667 3.7939999999999996 1.2646666666666666 3.8369
001 01 6 -4.793841068711146 118.78125000000001 3.0561412249805144 1 2 0 0 1 2 0 0 255.184 -186.067 181.139 -0.44954979325269534 1.7050516682323704 115.49650000000001 -0.308873 -0.173853 3.311566 2.890143 0.100483 0.05163765390681491 2.772592 2.966511 0.392608 0.06295181759885883 4.1006 1.3668666666666667 4.0895 1.3631666666666666 4.0712
001 01 8 -3.4569244615300647 84.14925000000002 2.0611377744751787 0 2 0 0 2 1 0 0 255.398 -151.649 290.626 0.9953961448734799 0.0034568700771465946 290.2915 -0.028245 -0.117934 3.277711 2.634899 0.104581 0.1121634510450411 2.796894 2.918822 0.353529 0.14783784805996064 4.275 2.1375 3.9398 1.9699 3.9541
001 01 10 -8.33702249382577 80.89225000000002 2.0191829678490283 1 1 0 0 0 1 0 0 270.227 -163.221 164.732 0.8558507151008911 0.11215368193683074 158.7955 -0.089372 -0.095523 3.099555 2.983021 0.000398 0.00386399189095078 2.891498 3.031321 0.134051 0.09662678113752939 3.8255999999999997 1.9127999999999998 3.6214999999999997 1.8107499999999999 3.6211
