# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.2466899246027623 1.9663333333333348 4.0146553684391595 3 2 1 0 0 1.0972539335414568 22.411749999999984 27.311 2.176 9.552999999999997 0.7100387312886004 0.23446758083629557 8.860499999999998 0.134227 0.11066 0.847598 0.018175 0.846741 0.042599 0.9267 0.947 0.9448
001 00 4 -0.09355758044320694 1.7803333333333349 4.0146553684391595 3 2 1 0 0 1.0936456437124595 22.411749999999984 28.758 0.915 7.4460000000000015 0.25087295192049447 0.6913162025943985 6.051500000000001 0.118724 0.102816 0.863223 0.018053 0.854986 0.042197 0.9378 0.9648 0.9682
001 00 5 -0.24923369456852384 1.9663333333333348 4.0146553684391595 3 2 1 0 0 1.0972498788539329 22.411749999999984 27.309 2.178 9.553000000000004 0.7108761645556374 0.23373765867418897 8.862500000000004 0.134236 0.110648 0.847589 0.018175 0.846752 0.042599 0.9267 0.947 0.9448
001 00 7 -0.3184435884391341 6.492333333333335 3.0639210465526094 1 0 2 0 0 1.0893309036429197 153.25175 32.195 -7.234 6.427 0.5864322389917539 0.345943600867678 5.762499999999999 0.115526 0.101962 0.866107 0.018368 0.853822 0.044216 0.9033 0.9601 0.9754
001 00 9 -0.11579441364936471 5.644333333333332 3.0584900338911774 1 0 2 0 0 1.0904777655192517 118.04475 30.710 -4.901 5.746000000000002 0.25026105116602826 0.692011137288498 4.6690000000000005 0.132566 0.110848 0.848728 0.018707 0.845513 0.043639 0.8835 0.9187 0.9659
001 00 11 -0.5572694729863166 2.772333333333332 2.018988056156897 1 0 1 0 0 1.0629612411194682 86.55375 33.385 -4.703 11.398 0.9668362870679064 0.025080727208386788 11.3035 0.057906 0.108777 0.919177 0.022917 0.840078 0.051146 0.9465 1.1317 1.0104
001 01 3 -0.259935615004089 1.6113333333333344 4.018271193628572 3 2 1 0 0 1.0824026070366146 20.55974999999998 27.776 2.066 9.671999999999997 0.7109181141439203 0.23370110330992977 8.972999999999999 0.131404 0.109953 0.849712 0.018884 0.845858 0.044189 0.9279 0.9481 0.9458
001 01 4 -0.10036464072540952 1.6433333333333344 4.018271193628572 3 2 1 0 0 1.088138476063364 20.55974999999998 29.032 0.778 7.434999999999995 0.21479488903833252 0.7327420299556519 5.975499999999997 0.116801 0.10342 0.864887 0.018312 0.853871 0.042709 0.9358 0.9651 0.9699
001 01 5 -0.25293561500408757 1.8423333333333325 4.018271193628572 3 2 1 0 0 1.091979794023644 20.55974999999998 27.438 2.173 9.829999999999998 0.676703967446593 0.26379281722096165 9.035499999999999 0.135167 0.112015 0.846431 0.018402 0.844943 0.043041 0.9251 0.9468 0.9454
001 01 7 -0.3011539631226974 6.317333333333334 3.0655545577719874 1 0 2 0 0 1.0811144889631532 151.13875 32.628 -7.493 6.846 0.5539000876424186 0.3765721331689275 6.0825 0.111032 0.100868 0.870122 0.018846 0.853809 0.045323 0.9021 0.9606 0.9771
