# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.2397732579360934 1.959416666666666 4.0146553684391595 3 2 1 0 0 1.0972539335414568 23.540250000000015 27.578 1.823 8.868999999999996 0.7061675498928858 0.237846060237298 8.217499999999998 0.04921 0.040823 0.905841 0.042708 0.816419 0.124421 0.9397 0.9741 1.0004
001 00 4 -0.13364091377653864 1.8204166666666666 4.0146553684391595 3 2 1 0 0 1.0936456437124595 23.540250000000015 28.710 0.829 6.544000000000004 0.1965158924205369 0.754087388851706 5.229500000000002 0.031612 0.035824 0.922716 0.043399 0.824005 0.121563 0.9466 0.9987 1.0218
001 00 5 -0.24331702790185616 1.9604166666666671 4.0146553684391595 3 2 1 0 0 1.0972498788539329 23.540250000000015 27.576 1.824 8.867999999999999 0.7068110058637797 0.23728401070820168 8.217999999999996 0.049227 0.04081 0.905825 0.042707 0.816435 0.124418 0.9397 0.974 1.0004
001 00 7 -0.5335269217724665 6.707416666666667 3.0639210465526094 1 0 2 0 0 1.0893309036429197 155.76125000000002 32.902 -8.249 6.621000000000002 0.34209333937471786 0.5905639913232108 5.532000000000004 0.054662 0.03323 0.901507 0.041643 0.821365 0.126978 0.9296 1.0046 1.0257
001 00 9 -0.3158777469827001 5.8444166666666675 3.0584900338911774 1 0 2 0 0 1.0904777655192517 119.37325000000001 31.550 -6.034 5.457000000000001 0.4953271028037401 0.4331550802139036 4.768500000000003 0.040989 0.042317 0.914469 0.042355 0.814245 0.125025 0.9107 1.0015 1.019
001 00 11 -0.33435280631965014 2.5494166666666658 2.018988056156897 1 0 1 0 0 1.0629612411194682 84.27425000000001 32.930 -4.120 10.717000000000002 0.9427078473453384 0.04359350594026631 10.563500000000001 0.054341 0.017627 0.896635 0.047417 0.825446 0.137725 1.0156 1.0736 1.0323
001 01 3 -0.26201894833742045 1.6134166666666658 4.018271193628572 3 2 1 0 0 1.0824026070366146 21.51325 28.113 1.634 8.981999999999996 0.7094188376753506 0.2350081037277148 8.329499999999996 0.04489 0.03641 0.909078 0.043723 0.81524 0.128846 0.9451 0.9759 1.0019
001 01 4 -0.13844797405874232 1.6814166666666672 4.018271193628572 3 2 1 0 0 1.088138476063364 21.51325 28.951 0.729 6.5390000000000015 0.15246979660498597 0.8065392451731836 5.153500000000001 0.029336 0.035661 0.924681 0.043683 0.822251 0.123008 0.9444 0.9992 1.0228
001 01 5 -0.24601894833742222 1.8354166666666671 4.018271193628572 3 2 1 0 0 1.091979794023644 21.51325 27.779 1.746 9.157000000000004 0.6723817844272139 0.2676341144284523 8.407000000000004 0.048906 0.041005 0.906049 0.042799 0.814996 0.125287 0.9386 0.9748 1.0013
001 01 7 -0.5302372964560291 6.546416666666666 3.0655545577719874 1 0 2 0 0 1.0811144889631532 153.50825 33.353 -8.539 6.913999999999998 0.3312120335551066 0.6022924626606457 5.757999999999999 0.050716 0.029885 0.904529 0.042506 0.820354 0.130586 0.9303 1.0055 1.0279
