# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
# compound structure atom shift_high-low shift_low CN(X) no_HCH no_HYH no_HYC no_HYN no_HYO dist_HC shift_low_neighbor_C shielding_dia shielding_para span skew asymmetry anisotropy at_charge_mull at_charge_loew orb_charge_mull_s orb_charge_mull_p orb_charge_loew_s orb_charge_loew_p BO_loew BO_mayer mayer_VA
001 00 3 -0.1872732579360843 1.9069166666666568 4.0146553684391595 3 2 1 0 0 1.0972539335414568 23.31174999999999 27.473 2.213 9.908000000000001 0.7398062171982241 0.2087224051384462 9.2635 0.023971 0.038344 0.926057 0.047399 0.818837 0.124607 0.943 0.9829 1.0137
001 00 4 -0.11514091377652846 1.8019166666666564 4.0146553684391595 3 2 1 0 0 1.0936456437124595 23.31174999999999 28.682 1.110 7.925000000000001 0.22599369085173415 0.7197840882421962 6.391500000000001 0.004834 0.034173 0.944372 0.048172 0.825553 0.121809 0.9486 1.0051 1.0336
001 00 5 -0.18981702790184585 1.9069166666666568 4.0146553684391595 3 2 1 0 0 1.0972498788539329 23.31174999999999 27.472 2.215 9.908000000000001 0.7404117884537749 0.20820291419320047 9.265 0.024002 0.038333 0.926027 0.047398 0.818851 0.124605 0.943 0.9829 1.0137
001 00 7 -0.4100269217724559 6.583916666666656 3.0639210465526094 1 0 2 0 0 1.0893309036429197 152.41575 32.812 -7.803 5.997 0.714523928630981 0.2305620398635295 5.569000000000003 0.041059 0.034444 0.912113 0.044373 0.82056 0.126845 0.9314 1.0318 1.0389
001 00 9 -0.16237774698268836 5.690916666666656 3.0584900338911774 1 0 2 0 0 1.0904777655192517 116.69874999999999 31.936 -6.034 6.055999999999997 0.10931307793923546 0.8593733404142337 4.707499999999996 0.031835 0.043153 0.921277 0.044462 0.813291 0.125363 0.9147 1.0545 1.0338
001 00 11 -0.4528528063196404 2.667916666666656 2.018988056156897 1 0 1 0 0 1.0629612411194682 84.59474999999999 33.622 -4.697 11.603999999999996 0.9443295415374017 0.04234214551015909 11.442499999999995 0.049135 0.022585 0.900747 0.048549 0.820329 0.138197 1.0139 1.1764 1.0377
001 01 3 -0.1945189483374108 1.5459166666666562 4.018271193628572 3 2 1 0 0 1.0824026070366146 21.439749999999975 27.994 2.053 10.042000000000002 0.7420832503485365 0.20676991856937535 9.3945 0.020362 0.034041 0.928881 0.048115 0.817607 0.128988 0.9483 0.9837 1.0149
001 01 4 -0.11794797405873325 1.6609166666666582 4.018271193628572 3 2 1 0 0 1.088138476063364 21.439749999999975 28.934 0.998 7.916999999999998 0.19211822660098446 0.7592592592592594 6.317999999999998 0.003099 0.034063 0.945958 0.048295 0.823805 0.123198 0.9465 1.0053 1.0342
001 01 5 -0.1925189483374119 1.7819166666666568 4.018271193628572 3 2 1 0 0 1.091979794023644 21.439749999999975 27.654 2.157 10.178 0.7095696600510917 0.2348765759084646 9.439 0.025237 0.038606 0.924915 0.04727 0.817362 0.125453 0.9419 0.9834 1.0133
001 01 7 -0.38673729645601895 6.4029166666666555 3.0655545577719874 1 0 2 0 0 1.0811144889631532 150.40474999999998 33.280 -8.090 6.343 0.6809080876556839 0.2600651019359262 5.837 0.037788 0.030985 0.914703 0.044994 0.81971 0.130412 0.9323 1.0322 1.04
001 01 9 -0.17786017737935822 6.171916666666657 3.0561412249805144 1 0 2 0 0 1.1227269787174485 118.31474999999999 31.023 -5.602 5.995999999999999 -0.08939292861908023 1.122851249140501 4.3629999999999995 0.038339 0.052422 0.916823 0.042555 0.815564 0.116052 0.9001 1.0476 1.0296
001 01 11 -0.4196159733870637 3.0239166666666577 2.0191829678490283 1 0 1 0 0 1.0817975078027404 82.47174999999999 32.957 -4.388 11.642000000000003 0.9422779591135549 0.04392539654871864 11.474000000000004 0.053759 0.032356 0.897176 0.047544 0.818561 0.131698 1.001 1.1763 1.0358
001 02 3 -0.21049229585345586 2.9919166666666577 3.9979709034248905 3 2 1 0 0 1.1432233108455583 24.665750000000003 26.198 2.403 9.897999999999996 0.7189331178015763 0.22673186634066808 9.202499999999997 0.030025 0.052321 0.923036 0.0446 0.820779 0.111756 0.9216 0.9789 1.0093
001 02 4 -0.13040399275781667 2.3969166666666553 3.9979709034248905 3 2 1 0 0 1.1166946331395438 24.665750000000003 28.305 0.891 7.592999999999996 0.288818648755432 0.6487265737626141 6.242999999999995 0.007601 0.040465 0.942676 0.0472 0.826715 0.116003 0.9404 1.0032 1.0309
001 02 5 -0.18405384097397004 1.473916666666657 3.9979709034248905 3 2 1 0 0 1.0684074855888035 24.665750000000003 27.982 2.137 10.077000000000002 0.7423836459263677 0.20651251591005554 9.428 0.033031 0.026744 0.915993 0.048296 0.819281 0.133519 0.9671 0.9875 1.0134
001 02 7 -0.47220241005895147 6.500916666666658 3.0596979778229123 1 0 2 0 0 1.0734334340822862 155.71875 33.386 -8.294 7.239999999999998 0.48453038674033194 0.44379261138417647 6.306999999999999 0.036575 0.026161 0.915273 0.045588 0.819885 0.134357 0.9414 1.0345 1.041
001 02 9 -0.18496482233348388 6.284916666666657 3.0491815223638183 1 0 2 0 0 1.1239203760778917 122.12174999999999 31.013 -5.705 6.185000000000002 0.04866612772837597 0.936147645311837 4.714000000000002 0.038628 0.052335 0.916366 0.042695 0.814991 0.116683 0.8989 1.0416 1.0283
001 02 11 -0.5371949129363003 1.7839166666666557 2.022133625457723 1 0 1 0 0 1.0208159574179525 88.96074999999999 35.265 -5.455 10.942999999999998 0.9446221328703286 0.04211648056340652 10.7915 0.034873 0.001007 0.913433 0.050041 0.824648 0.151631 1.0382 1.1868 1.0398
